"01","36603","AL",
"01","36604","AL",
"01","36605","AL",
"01","36606","AL",
"01","36607","AL",
"01","36608","AL",
"01","36609","AL",
"01","36610","AL",
"01","36611","AL",
"01","36612","AL",
"01","36613","AL",
"01","36615","AL",
"01","36617","AL",
"01","36618","AL",
"01","36619","AL",
"01","36693","AL",
"01","36695","AL",
"01","36701","AL",
"01","36703","AL",
"01","36720","AL",
"01","36722","AL",
"01","36726","AL",
"01","36727","AL",
"01","36728","AL",
"01","36732","AL",
"01","36736","AL",
"01","36738","AL",
"01","36740","AL",
"01","36742","AL",
"01","36744","AL",
"01","36748","AL",
"01","36749","AL",
"01","36750","AL",
"01","36751","AL",
"01","36752","AL",
"01","36754","AL",
"01","36756","AL",
"01","36758","AL",
"01","36759","AL",
"01","36761","AL",
"01","36762","AL",
"01","36765","AL",
"01","36767","AL",
"01","36768","AL",
"01","36769","AL",
"01","36771","AL",
"01","36773","AL",
"01","36775","AL",
"01","36776","AL",
"01","36779","AL",
"01","36782","AL",
"01","36783","AL",
"01","36784","AL",
"01","36785","AL",
"01","36786","AL",
"01","36790","AL",
"01","36792","AL",
"01","36793","AL",
"01","36801","AL",
"01","36830","AL",
"01","36850","AL",
"01","36852","AL",
"01","36853","AL",
"01","36854","AL",
"01","36855","AL",
"01","36858","AL",
"01","36860","AL",
"01","36861","AL",
"01","36862","AL",
"01","36863","AL",
"01","36866","AL",
"01","36867","AL",
"01","36869","AL",
"01","36871","AL",
"01","36874","AL",
"01","36875","AL",
"01","36877","AL",
"01","36879","AL",
"01","36904","AL",
"01","36907","AL",
"01","36908","AL",
"01","36910","AL",
"01","36912","AL",
"01","36915","AL",
"01","36916","AL",
"01","36919","AL",
"01","36921","AL",
"01","36922","AL",
"01","36925","AL",
"02","98791","AK",
"02","99501","AK",
"02","99502","AK",
"02","99503","AK",
"02","99504","AK",
"02","99505","AK",
"02","99506","AK",
"02","99507","AK",
"02","99508","AK",
"02","99515","AK",
"02","99516","AK",
"02","99517","AK",
"02","99518","AK",
"02","99549","AK",
"02","99551","AK",
"02","99552","AK",
"02","99553","AK",
"02","99554","AK",
"02","99555","AK",
"02","99556","AK",
"02","99557","AK",
"02","99558","AK",
"02","99559","AK",
"02","99561","AK",
"02","99563","AK",
"02","99564","AK",
"02","99565","AK",
"02","99567","AK",
"02","99568","AK",
"02","99569","AK",
"02","99571","AK",
"02","99572","AK",
"02","99573","AK",
"02","99574","AK",
"02","99575","AK",
"02","99576","AK",
"02","99577","AK",
"02","99578","AK",
"02","99579","AK",
